transaction_number,transaction_type,id_customer,transaction_date,id_subcategory,id_category,quantity,rate,tax,total_amount,id_store_type,id_store,id_product_category
68325723297,P,268516,2014-02-20,9,3,1,877,92.085,969.085,1,4,3-9
73235813024,P,268774,2014-02-20,3,5,1,76,7.98,83.98,2,3,5-3
80712190438,P,270351,2014-02-20,1,1,5,772,405.3,4265.3,1,4,1-1
66989395597,P,272785,2014-02-20,10,3,2,474,99.54,1047.54,2,4,3-10
88853694830,R,268444,2014-02-20,4,4,-3,-80,25.2,-265.2,3,4,4-4
99581788104,P,267466,2014-02-20,3,2,1,96,10.08,106.08,4,5,2-3
28396777609,P,269101,2014-02-19,4,1,4,1386,582.12,6126.12,2,5,1-4
22391667321,P,270842,2014-02-19,1,2,5,723,379.575,3994.575,3,5,2-1
51075317246,P,274987,2014-02-19,10,6,5,374,196.35,2066.35,3,4,6-10
16199275450,P,275139,2014-02-19,4,2,1,173,18.165,191.165,3,2,2-4
22698449434,P,269136,2014-02-19,7,5,5,189,99.225,1044.225,2,4,5-7
13167171971,P,275149,2014-02-19,4,3,4,804,337.68,3553.68,3,3,3-4
32130400636,P,269772,2014-02-19,12,6,3,229,72.135,759.135,1,3,6-12
31384765864,P,267058,2014-02-19,3,2,1,793,83.265,876.265,1,1,2-3
85894118953,P,271817,2014-02-19,3,2,3,1401,441.315,4644.315,1,2,2-3
63407734630,P,271322,2014-02-19,3,2,5,1360,714.0,7514.0,4,2,2-3
90740728864,P,268229,2014-02-19,4,2,5,984,516.6,5436.6,2,5,2-4
82750983847,P,267544,2014-02-19,3,5,1,805,84.525,889.525,4,4,5-3
67328698675,P,268755,2014-02-19,3,2,1,1018,106.89,1124.89,4,5,2-3
80381707658,P,269407,2014-02-19,6,5,5,573,300.825,3165.825,1,3,5-6
78709566028,P,273023,2014-02-19,10,6,2,1052,220.92,2324.92,1,2,6-10
67079812295,P,271818,2014-02-19,10,3,2,1408,295.68,3111.68,3,1,3-10
72427583709,P,268129,2014-02-19,4,4,1,885,92.925,977.925,4,3,4-4
14259136777,P,274477,2014-02-18,10,3,1,1489,156.345,1645.345,2,5,3-10
7313351894,P,267568,2014-02-18,2,6,4,481,202.02,2126.02,4,4,6-2
37745642681,P,267098,2014-02-18,1,2,1,109,11.445,120.445,4,1,2-1
13861409908,P,271608,2014-02-18,1,2,2,1352,283.92,2987.92,3,3,2-1
58956348529,P,272484,2014-02-18,4,1,4,1443,606.06,6378.06,2,5,1-4
58886320392,P,268715,2014-02-18,10,6,2,768,161.28,1697.28,4,5,6-10
53081075361,P,273250,2014-02-18,11,6,5,1345,706.125,7431.125,4,2,6-11
10017543415,P,267097,2014-02-18,3,5,1,164,17.22,181.22,4,3,5-3
34065279733,P,274562,2014-02-18,6,5,2,280,58.8,618.8,1,1,5-6
58223423237,R,268138,2014-02-18,6,5,-3,-1398,440.37,-4634.37,1,1,5-6
74085729167,P,268492,2014-02-18,3,5,3,433,136.395,1435.395,1,1,5-3
83498320600,P,273359,2014-02-18,4,1,4,861,361.62,3805.62,1,2,1-4
83313344780,P,271288,2014-02-18,4,3,2,84,17.64,185.64,4,3,3-4
96923177403,P,270778,2014-02-18,11,6,5,1111,583.275,6138.275,3,1,6-11
78091789730,P,271030,2014-02-18,4,1,1,380,39.9,419.9,1,1,1-4
84466140532,P,274426,2014-02-18,6,5,5,423,222.075,2337.075,1,1,5-6
59232461135,P,269019,2014-02-17,4,2,2,479,100.59,1058.59,4,2,2-4
58223423237,P,268138,2014-02-17,6,5,3,1398,440.37,4634.37,1,2,5-6
60560888204,P,271250,2014-02-17,10,6,2,707,148.47,1562.47,4,5,6-10
22643667930,P,271489,2014-02-17,12,6,1,1225,128.625,1353.625,2,2,6-12
12161898302,R,274402,2014-02-17,1,2,-1,-891,93.555,-984.555,2,5,2-1
43561027610,P,270244,2014-02-17,8,3,1,728,76.44,804.44,1,1,3-8
40604748560,P,269387,2014-02-17,6,5,5,760,399.0,4199.0,4,1,5-6
8868056339,R,268145,2014-02-17,2,6,-2,-152,31.92,-335.92,1,3,6-2
78600072636,P,273067,2014-02-17,9,3,3,446,140.49,1478.49,2,4,3-9
79792372943,P,275108,2014-02-17,3,1,3,908,286.02,3010.02,3,1,1-3
94418788162,P,267559,2014-02-17,10,6,1,620,65.1,685.1,2,2,6-10
86635642295,P,271763,2014-02-17,12,6,5,562,295.05,3105.05,4,1,6-12
75980673312,P,270678,2014-02-17,7,5,4,1377,578.34,6086.34,2,2,5-7
88830495604,P,269018,2014-02-17,10,6,4,307,128.94,1356.94,3,1,6-10
19729968655,P,269162,2014-02-16,10,5,2,721,151.41,1593.41,1,4,5-10
8709975598,P,269867,2014-02-16,11,5,3,1243,391.545,4120.545,1,4,5-11
56483064719,P,270108,2014-02-16,4,3,2,1037,217.77,2291.77,1,1,3-4
55452156634,P,273734,2014-02-16,3,5,5,778,408.45,4298.45,1,3,5-3
22461440770,P,270294,2014-02-16,4,3,5,1060,556.5,5856.5,1,2,3-4
4067131912,P,274014,2014-02-16,3,5,4,332,139.44,1467.44,1,2,5-3
59201497276,P,273506,2014-02-16,12,6,3,537,169.155,1780.155,3,2,6-12
51750724947,P,273420,2014-02-16,6,5,2,791,166.11,1748.11,2,1,5-6
45848212352,P,268592,2014-02-16,1,2,3,1029,324.135,3411.135,2,4,2-1
79449440045,P,271561,2014-02-16,8,3,4,498,209.16,2201.16,1,4,3-8
83108241933,P,273896,2014-02-16,4,1,2,574,120.54,1268.54,1,4,1-4
84867095544,P,267360,2014-02-16,8,3,3,674,212.31,2234.31,1,1,3-8
92825360774,P,267072,2014-02-16,1,2,5,803,421.575,4436.575,1,3,2-1
76990911956,P,270148,2014-02-16,4,3,4,448,188.16,1980.16,4,1,3-4
93274880719,P,271509,2014-02-16,11,6,3,1363,429.345,4518.345,1,1,6-11
86612653865,P,274813,2014-02-16,2,6,3,1271,400.365,4213.365,1,1,6-2
10262222991,P,272069,2014-02-15,7,5,3,1462,460.53,4846.53,1,4,5-7
34544863855,P,269388,2014-02-15,11,6,2,922,193.62,2037.62,4,3,6-11
22781866776,P,271875,2014-02-15,2,6,4,428,179.76,1891.76,2,2,6-2
4449802598,P,271355,2014-02-15,12,6,4,999,419.58,4415.58,2,1,6-12
3530523263,P,272777,2014-02-15,10,6,2,582,122.22,1286.22,3,5,6-10
8433718881,P,271912,2014-02-15,11,6,2,1438,301.98,3177.98,3,3,6-11
21494029219,P,268052,2014-02-15,4,2,4,228,95.76,1007.76,1,3,2-4
56419730266,P,268772,2014-02-15,11,5,1,1213,127.365,1340.365,1,2,5-11
50076728598,P,269014,2014-02-15,8,3,4,581,244.02,2568.02,1,3,3-8
35243275448,P,273075,2014-02-15,2,6,4,1168,490.56,5162.56,2,1,6-2
10942311291,P,271297,2014-02-15,3,1,2,756,158.76,1670.76,4,4,1-3
63352996926,P,272145,2014-02-15,5,3,4,1342,563.64,5931.64,4,4,3-5
73713102191,P,268867,2014-02-15,1,1,1,714,74.97,788.97,3,3,1-1
70043127245,P,271595,2014-02-15,8,3,1,1461,153.405,1614.405,2,1,3-8
85713951101,P,274609,2014-02-15,12,5,5,968,508.2,5348.2,2,2,5-12
82975337804,P,272529,2014-02-15,4,4,4,869,364.98,3840.98,4,4,4-4
84116465142,P,271368,2014-02-15,10,5,5,788,413.7,4353.7,3,1,5-10
62672834763,P,268855,2014-02-14,4,3,3,1363,429.345,4518.345,1,3,3-4
57134739558,P,270625,2014-02-14,1,1,5,595,312.375,3287.375,2,4,1-1
57112244235,P,268076,2014-02-14,10,3,4,167,70.14,738.14,4,5,3-10
6993051511,P,271658,2014-02-14,11,6,2,476,99.96,1051.96,1,4,6-11
28621201753,R,271310,2014-02-14,10,6,-4,-219,91.98,-967.98,1,5,6-10
2934877504,P,271859,2014-02-14,3,2,4,1274,535.08,5631.08,4,4,2-3
56835507985,P,271744,2014-02-14,6,5,4,378,158.76,1670.76,3,1,5-6
31183475305,P,273474,2014-02-14,9,3,2,706,148.26,1560.26,1,4,3-9
50177628799,P,273763,2014-02-14,4,2,3,803,252.945,2661.945,3,3,2-4
30489975482,P,274689,2014-02-14,10,3,4,1002,420.84,4428.84,3,1,3-10
85198716539,P,269275,2014-02-14,10,3,1,96,10.08,106.08,2,5,3-10
85284647047,P,271924,2014-02-14,2,6,2,367,77.07,811.07,4,3,6-2
92809340294,P,271061,2014-02-14,4,3,3,1004,316.26,3328.26,1,4,3-4
81262483026,P,268956,2014-02-14,9,3,4,700,294.0,3094.0,2,5,3-9
99503089534,P,274266,2014-02-14,8,3,1,1370,143.85,1513.85,4,1,3-8
88321457472,P,269907,2014-02-14,10,3,5,621,326.025,3431.025,1,4,3-10
75927432534,P,267500,2014-02-14,1,4,2,845,177.45,1867.45,1,4,4-1
70614782851,P,269140,2014-02-14,2,6,4,342,143.64,1511.64,2,1,6-2
64655688681,P,268136,2014-02-14,1,4,5,153,80.325,845.325,2,1,4-1
16952157158,P,271493,2014-02-13,4,4,2,1200,252.0,2652.0,1,4,4-4
7719443790,P,271312,2014-02-13,10,3,4,1135,476.7,5016.7,1,1,3-10
58500805392,P,267375,2014-02-13,4,4,3,85,26.775,281.775,2,1,4-4
6801834681,P,273174,2014-02-13,4,1,1,642,67.41,709.41,4,1,1-4
10655853079,P,267375,2014-02-13,6,5,4,1486,624.12,6568.12,2,2,5-6
21685086436,P,274152,2014-02-13,2,6,3,765,240.975,2535.975,4,4,6-2
36041524849,P,274408,2014-02-13,3,5,3,771,242.865,2555.865,4,1,5-3
58780907716,P,270071,2014-02-13,11,6,2,819,171.99,1809.99,3,5,6-11
35353613089,P,270207,2014-02-13,4,1,3,126,39.69,417.69,4,2,1-4
2737048693,P,270263,2014-02-13,4,2,4,1108,465.36,4897.36,1,5,2-4
84834490422,R,271596,2014-02-13,4,1,-4,-447,187.74,-1975.74,1,2,1-4
78324020330,P,273304,2014-02-13,11,6,3,765,240.975,2535.975,1,3,6-11
88853694830,P,268444,2014-02-13,4,4,3,80,25.2,265.2,3,4,4-4
87149439767,P,273848,2014-02-13,6,5,3,1288,405.72,4269.72,2,3,5-6
89646857855,P,273598,2014-02-13,11,6,4,755,317.1,3337.1,3,4,6-11
12323853707,P,273552,2014-02-12,12,6,4,510,214.2,2254.2,2,2,6-12
60596009595,P,274652,2014-02-12,12,5,4,183,76.86,808.86,3,5,5-12
17146707816,P,274897,2014-02-12,12,5,3,622,195.93,2061.93,3,2,5-12
36792372906,P,275246,2014-02-12,2,6,1,1185,124.425,1309.425,1,5,6-2
38821078489,P,267025,2014-02-12,10,6,4,933,391.86,4123.86,1,1,6-10
23525861068,P,268100,2014-02-12,1,2,3,1318,415.17,4369.17,2,2,2-1
15403541663,P,266794,2014-02-12,3,2,2,322,67.62,711.62,1,3,2-3
45649838090,P,273667,2014-02-12,11,6,1,1450,152.25,1602.25,1,3,6-11
33433865581,P,269772,2014-02-12,4,2,3,1035,326.025,3431.025,2,4,2-4
55245382907,P,270810,2014-02-12,4,3,2,979,205.59,2163.59,2,2,3-4
74023090711,P,271180,2014-02-12,8,3,3,271,85.365,898.365,4,5,3-8
76916560921,R,268720,2014-02-12,10,6,-4,-348,146.16,-1538.16,1,3,6-10
79536458466,P,271944,2014-02-12,1,1,2,996,209.16,2201.16,1,1,1-1
69329009642,P,273799,2014-02-12,9,3,1,357,37.485,394.485,2,3,3-9
89214951500,P,273322,2014-02-12,12,6,1,1166,122.43,1288.43,2,4,6-12
78753279494,P,269758,2014-02-12,10,5,3,952,299.88,3155.88,3,1,5-10
97409887219,P,267466,2014-02-12,4,4,1,78,8.19,86.19,1,4,4-4
65228973233,P,270009,2014-02-12,11,5,2,301,63.21,665.21,1,3,5-11
83661978186,P,274678,2014-02-12,10,3,2,325,68.25,718.25,1,1,3-10
50149714801,P,270330,2014-02-11,10,6,5,1453,762.825,8027.825,4,2,6-10
39874643292,P,267524,2014-02-11,4,2,3,834,262.71,2764.71,1,1,2-4
59774938687,R,272137,2014-02-11,12,6,-1,-541,56.805,-597.805,1,2,6-12
26982813520,P,274048,2014-02-11,12,5,2,1410,296.1,3116.1,3,5,5-12
16894888318,P,273946,2014-02-11,11,6,1,1238,129.99,1367.99,1,1,6-11
2663044947,P,268959,2014-02-11,4,1,5,1440,756.0,7956.0,1,5,1-4
34493454984,P,269413,2014-02-11,4,4,3,1236,389.34,4097.34,3,5,4-4
17363873507,P,274693,2014-02-11,2,6,2,647,135.87,1429.87,2,3,6-2
43134751727,P,268487,2014-02-11,3,2,1,611,64.155,675.155,1,3,2-3
48458724845,P,274880,2014-02-11,11,5,4,431,181.02,1905.02,4,1,5-11
18326377260,P,269601,2014-02-11,4,2,4,710,298.2,3138.2,4,3,2-4
19332389714,P,267634,2014-02-11,3,1,2,335,70.35,740.35,4,5,1-3
6707537285,P,269933,2014-02-11,4,2,2,1196,251.16,2643.16,2,4,2-4
32636903929,R,270875,2014-02-11,10,3,-2,-316,66.36,-698.36,1,3,3-10
44081602885,P,274345,2014-02-11,11,5,2,1437,301.77,3175.77,3,3,5-11
77013937426,P,274781,2014-02-11,5,3,1,588,61.74,649.74,2,5,3-5
74015278814,P,269847,2014-02-11,4,1,5,1406,738.15,7768.15,2,4,1-4
67749427752,P,272137,2014-02-11,3,1,3,214,67.41,709.41,4,5,1-3
63521826176,P,272561,2014-02-11,3,1,4,1101,462.42,4866.42,1,3,1-3
75365399021,P,274526,2014-02-11,10,5,4,1251,525.42,5529.42,4,2,5-10
19792156528,P,268098,2014-02-10,3,2,1,711,74.655,785.655,2,5,2-3
46596657080,P,270631,2014-02-10,8,3,1,906,95.13,1001.13,2,4,3-8
163194840,P,268845,2014-02-10,3,5,4,1093,459.06,4831.06,4,1,5-3
42749293387,P,271872,2014-02-10,4,1,1,87,9.135,96.135,1,1,1-4
52367686566,P,271735,2014-02-10,12,5,5,312,163.8,1723.8,3,1,5-12
19030689527,P,274511,2014-02-10,11,6,1,542,56.91,598.91,1,3,6-11
47710448314,R,269932,2014-02-10,12,6,-4,-666,279.72,-2943.72,1,4,6-12
22385705298,P,269188,2014-02-10,7,5,5,554,290.85,3060.85,1,3,5-7
59105495602,P,268995,2014-02-10,9,3,4,479,201.18,2117.18,4,3,3-9
38825384480,P,267297,2014-02-10,12,5,4,725,304.5,3204.5,1,5,5-12
83881310302,P,268713,2014-02-10,11,6,5,452,237.3,2497.3,3,3,6-11
81261371045,P,273625,2014-02-10,10,3,2,815,171.15,1801.15,3,4,3-10
88990481317,P,273646,2014-02-10,5,3,1,239,25.095,264.095,3,3,3-5
85157626424,P,271384,2014-02-10,3,2,2,447,93.87,987.87,1,2,2-3
64586839639,P,269225,2014-02-10,4,2,4,813,341.46,3593.46,2,1,2-4
97048148140,P,268101,2014-02-10,4,3,4,1456,611.52,6435.52,4,2,3-4
80632003085,P,268801,2014-02-10,10,6,4,857,359.94,3787.94,1,2,6-10
80509578375,P,273454,2014-02-10,8,3,3,771,242.865,2555.865,1,1,3-8
45988245637,P,270375,2014-02-09,10,5,3,970,305.55,3215.55,1,1,5-10
27576087298,R,270419,2014-02-09,11,6,-2,-856,179.76,-1891.76,3,4,6-11
62539388511,P,271683,2014-02-09,1,2,3,77,24.255,255.255,1,1,2-1
40251543872,P,270018,2014-02-09,4,1,1,1149,120.645,1269.645,1,5,1-4
23333535918,P,267067,2014-02-09,7,5,2,306,64.26,676.26,1,2,5-7
33632846691,R,268606,2014-02-09,3,1,-5,-1146,601.65,-6331.65,1,4,1-3
4346259881,P,269947,2014-02-09,8,3,5,857,449.925,4734.925,2,3,3-8
39579115484,P,267463,2014-02-09,10,3,3,815,256.725,2701.725,3,5,3-10
7038716135,P,272172,2014-02-09,7,5,3,519,163.485,1720.485,1,1,5-7
33587223995,P,267662,2014-02-09,12,5,2,334,70.14,738.14,1,4,5-12
8378457026,P,273358,2014-02-09,10,3,5,494,259.35,2729.35,1,1,3-10
37044229807,P,269776,2014-02-09,4,4,1,613,64.365,677.365,1,3,4-4
67548143862,R,272515,2014-02-09,1,4,-2,-586,123.06,-1295.06,3,3,4-1
75768838702,P,269808,2014-02-09,5,3,3,1381,435.015,4578.015,2,5,3-5
72558029032,P,267467,2014-02-09,1,4,4,611,256.62,2700.62,4,3,4-1
83012826863,P,272365,2014-02-09,11,5,4,825,346.5,3646.5,3,1,5-11
78615435064,P,270111,2014-02-09,4,3,2,1069,224.49,2362.49,4,2,3-4
65766709899,P,266843,2014-02-09,2,6,5,934,490.35,5160.35,2,2,6-2
88707635548,P,267754,2014-02-09,4,2,1,257,26.985,283.985,1,1,2-4
86159101262,P,270240,2014-02-09,12,5,3,680,214.2,2254.2,1,4,5-12
56288202501,R,267656,2014-02-08,10,6,-3,-421,132.615,-1395.615,1,4,6-10
1255149551,P,268364,2014-02-08,12,5,1,495,51.975,546.975,2,4,5-12
364208039,P,271694,2014-02-08,3,5,3,935,294.525,3099.525,1,3,5-3
13264686077,P,273267,2014-02-08,4,2,4,1177,494.34,5202.34,1,5,2-4
28977973301,P,273368,2014-02-08,12,6,5,627,329.175,3464.175,3,3,6-12
60419542443,P,273598,2014-02-08,12,5,2,849,178.29,1876.29,1,3,5-12
38646806488,P,273353,2014-02-08,11,6,2,787,165.27,1739.27,1,3,6-11
6002148986,P,268402,2014-02-08,10,3,3,537,169.155,1780.155,4,1,3-10
14834552371,P,274650,2014-02-08,12,5,1,498,52.29,550.29,4,1,5-12
24352273509,P,273140,2014-02-08,4,4,5,621,326.025,3431.025,1,4,4-4
17363351082,P,267926,2014-02-08,2,6,1,1398,146.79,1544.79,3,5,6-2
61981174638,P,272143,2014-02-08,4,4,2,615,129.15,1359.15,2,4,4-4
90855483222,P,274895,2014-02-08,5,3,1,372,39.06,411.06,4,4,3-5
68620999310,P,273660,2014-02-08,4,3,4,1202,504.84,5312.84,1,5,3-4
90375459981,P,269269,2014-02-08,4,3,4,232,97.44,1025.44,1,3,3-4
76880074300,P,275227,2014-02-08,10,5,3,298,93.87,987.87,3,2,5-10
65582112405,R,267243,2014-02-08,1,1,-3,-1259,396.585,-4173.585,1,4,1-1
93495212754,P,269950,2014-02-08,12,5,2,646,135.66,1427.66,4,3,5-12
93868053857,P,270042,2014-02-08,10,3,5,1393,731.325,7696.325,1,5,3-10
33632846691,R,268606,2014-02-07,3,1,-5,-1146,601.65,-6331.65,1,1,1-3
45033226236,P,274250,2014-02-07,1,4,2,1326,278.46,2930.46,1,3,4-1
12161898302,P,274402,2014-02-07,1,2,1,891,93.555,984.555,2,4,2-1
39489465631,P,275082,2014-02-07,10,6,2,403,84.63,890.63,3,2,6-10
41870403334,P,273965,2014-02-07,1,4,5,510,267.75,2817.75,1,4,4-1
57797450946,P,272395,2014-02-07,12,6,5,80,42.0,442.0,4,2,6-12
59774938687,P,272137,2014-02-07,12,6,1,541,56.805,597.805,1,1,6-12
54468563132,P,270773,2014-02-07,1,2,1,949,99.645,1048.645,1,2,2-1
15209954032,P,267704,2014-02-07,10,6,4,784,329.28,3465.28,1,3,6-10
7699070022,P,268670,2014-02-07,1,2,1,1183,124.215,1307.215,1,4,2-1
54730601969,P,274917,2014-02-07,1,1,5,102,53.55,563.55,1,5,1-1
52050513659,P,272985,2014-02-07,4,2,3,1389,437.535,4604.535,1,5,2-4
34021802745,P,271577,2014-02-07,3,1,4,1247,523.74,5511.74,4,1,1-3
59849740275,P,270405,2014-02-07,3,5,5,260,136.5,1436.5,2,2,5-3
27835361772,P,273083,2014-02-07,3,1,4,1141,479.22,5043.22,1,1,1-3
33904181275,P,272874,2014-02-07,12,5,5,556,291.9,3071.9,1,4,5-12
3030817826,P,269741,2014-02-07,5,3,1,493,51.765,544.765,1,2,3-5
84834490422,P,271596,2014-02-07,4,1,4,447,187.74,1975.74,1,3,1-4
76916560921,P,268720,2014-02-07,10,6,4,348,146.16,1538.16,1,4,6-10
77738613519,P,275104,2014-02-07,10,5,4,1219,511.98,5387.98,1,4,5-10
99564160197,R,275204,2014-02-07,2,6,-5,-868,455.7,-4795.7,3,1,6-2
90027428071,P,275056,2014-02-07,4,1,2,401,84.21,886.21,2,5,1-4
75588795256,R,268275,2014-02-07,4,2,-5,-1144,600.6,-6320.6,1,5,2-4
70614471898,P,274772,2014-02-07,3,1,5,163,85.575,900.575,2,3,1-3
98359405385,R,274331,2014-02-07,3,5,-4,-1314,551.88,-5807.88,3,3,5-3
85541056281,P,273367,2014-02-07,8,3,5,303,159.075,1674.075,3,1,3-8
52563546033,P,270178,2014-02-06,9,3,5,733,384.825,4049.825,2,2,3-9
28640836748,P,269049,2014-02-06,3,1,5,1293,678.825,7143.825,4,2,1-3
21165396469,P,271101,2014-02-06,11,6,4,427,179.34,1887.34,2,3,6-11
61647375755,P,271935,2014-02-06,3,2,2,282,59.22,623.22,4,2,2-3
22635337610,P,273863,2014-02-06,10,5,2,1137,238.77,2512.77,2,2,5-10
61800180485,P,273363,2014-02-06,3,2,3,575,181.125,1906.125,2,5,2-3
28010239247,P,273871,2014-02-06,2,6,4,897,376.74,3964.74,3,2,6-2
32722184372,P,269527,2014-02-06,10,5,1,688,72.24,760.24,1,2,5-10
10535054637,P,273221,2014-02-06,6,5,4,1145,480.9,5060.9,2,1,5-6
9107602878,P,266900,2014-02-06,3,1,2,666,139.86,1471.86,4,2,1-3
33661068980,P,273651,2014-02-06,11,5,1,707,74.235,781.235,1,1,5-11
8890120338,P,272794,2014-02-06,10,5,1,615,64.575,679.575,1,5,5-10
56624369341,P,270072,2014-02-06,6,5,1,428,44.94,472.94,4,3,5-6
57234040200,P,272816,2014-02-06,7,5,5,1477,775.425,8160.425,3,5,5-7
91565824523,P,267833,2014-02-06,12,6,2,571,119.91,1261.91,1,4,6-12
78935183480,P,275010,2014-02-06,3,1,2,1262,265.02,2789.02,1,4,1-3
80187350207,P,269221,2014-02-06,11,5,1,497,52.185,549.185,1,3,5-11
71352894214,P,269787,2014-02-06,3,5,1,96,10.08,106.08,4,5,5-3
77645508568,P,275134,2014-02-06,10,5,3,1052,331.38,3487.38,4,2,5-10
81111550420,P,274369,2014-02-06,10,6,5,1335,700.875,7375.875,3,1,6-10
27576087298,P,270419,2014-02-05,11,6,2,856,179.76,1891.76,3,5,6-11
51473331806,P,267794,2014-02-05,1,1,3,292,91.98,967.98,2,4,1-1
14735497960,P,270253,2014-02-05,4,1,1,225,23.625,248.625,2,2,1-4
16495297625,P,270148,2014-02-05,5,3,4,998,419.16,4411.16,4,1,3-5
41451156208,P,272672,2014-02-05,1,2,2,269,56.49,594.49,4,5,2-1
28621201753,P,271310,2014-02-05,10,6,4,219,91.98,967.98,1,4,6-10
46654312080,P,271152,2014-02-05,3,5,2,1106,232.26,2444.26,1,5,5-3
34370573493,P,269370,2014-02-05,9,3,2,83,17.43,183.43,3,5,3-9
33588407342,P,271494,2014-02-05,3,5,4,559,234.78,2470.78,1,1,5-3
46019709226,P,272852,2014-02-05,11,5,1,882,92.61,974.61,2,5,5-11
33632846691,P,268606,2014-02-05,3,1,5,1146,601.65,6331.65,1,5,1-3
95462385777,R,273023,2014-02-05,11,6,-5,-1453,762.825,-8027.825,1,3,6-11
78340008725,P,273096,2014-02-05,2,6,2,598,125.58,1321.58,3,4,6-2
94902984271,R,270831,2014-02-05,8,3,-5,-1221,641.025,-6746.025,4,5,3-8
67958065319,P,270714,2014-02-05,12,6,2,306,64.26,676.26,1,4,6-12
92456150942,R,267489,2014-02-05,1,1,-4,-587,246.54,-2594.54,2,4,1-1
75588795256,P,268275,2014-02-05,4,2,5,1144,600.6,6320.6,1,3,2-4
21306057166,P,269711,2014-02-04,6,5,1,207,21.735,228.735,2,3,5-6
38796532648,P,268931,2014-02-04,4,3,5,1076,564.9,5944.9,4,2,3-4
51203180395,P,270481,2014-02-04,2,6,1,1044,109.62,1153.62,4,1,6-2
1278547891,P,270252,2014-02-04,1,4,2,1477,310.17,3264.17,1,2,4-1
32815955218,P,275225,2014-02-04,10,3,4,370,155.4,1635.4,3,4,3-10
6522235782,P,269285,2014-02-04,3,1,3,907,285.705,3006.705,1,4,1-3
56288202501,P,267656,2014-02-04,10,6,3,421,132.615,1395.615,1,2,6-10
47710448314,P,269932,2014-02-04,12,6,4,666,279.72,2943.72,1,3,6-12
61686001091,P,275196,2014-02-04,1,4,5,1156,606.9,6386.9,3,4,4-1
59263063850,P,272795,2014-02-04,11,6,3,496,156.24,1644.24,1,4,6-11
17471192489,R,271500,2014-02-04,4,4,-4,-526,220.92,-2324.92,2,3,4-4
95462385777,P,273023,2014-02-04,11,6,5,1453,762.825,8027.825,1,4,6-11
73384846911,R,273877,2014-02-04,10,3,-3,-97,30.555,-321.555,4,2,3-10
96960790073,P,273836,2014-02-04,4,4,2,663,139.23,1465.23,3,1,4-4
33506637829,P,271012,2014-02-03,12,5,5,799,419.475,4414.475,1,3,5-12
27482838740,P,268569,2014-02-03,4,3,4,844,354.48,3730.48,3,1,3-4
22828723502,P,272596,2014-02-03,4,1,4,240,100.8,1060.8,1,3,1-4
19238160624,P,268057,2014-02-03,4,2,2,667,140.07,1474.07,3,2,2-4
44279555583,P,270455,2014-02-03,4,1,3,1190,374.85,3944.85,3,2,1-4
26657504316,P,271288,2014-02-03,7,5,1,1051,110.355,1161.355,4,5,5-7
38807835117,R,269786,2014-02-03,7,5,-5,-245,128.625,-1353.625,4,3,5-7
36980780606,P,269537,2014-02-03,5,3,4,859,360.78,3796.78,1,5,3-5
49910782959,P,275088,2014-02-03,10,6,5,1158,607.95,6397.95,3,3,6-10
49866131360,P,268571,2014-02-03,10,6,3,1195,376.425,3961.425,1,5,6-10
